,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,ms,fill_height
0,2023-01-11 08:46:29.249240,0,0,10.86396217,10.09940338,9.553574562,10.32448292,9.832221985,10.09057903,8.728514671,10.56578064,9.816399574,0.0,9.736702919,-0.885493224,0.8847424,0,0.549008058,-0.155109266,0.029697229,-0.05148944,0.087839366,0.079703086,0.072616902,0.012208522,,2023-01-11 08:46:29,,none,-0.8865596397782282,0.0,0.5468251713973505,0.8737892940754879,-0.15589235728423154,0.030765948460566298,-0.053601180643885346,0.08787598051106085,0.0811479519185834,0,0.0
5,2023-01-11 08:46:34.329531,0,0,10.85938835,10.10323524,9.541646957,10.31723404,9.827939987,10.08744431,8.709699631,10.57619381,9.826815605,0.0,9.749708176,-0.824450617,0.8847424,0,0.610050665,-0.143358564,0.016878281,-0.055762422,0.08530742,0.083103576,0.074432324,0.012818948,,2023-01-11 08:46:34,,none,-0.8768336632719944,0.0,0.556015859199963,0.8761205103245304,-0.15225537121926344,0.028182650069518998,-0.0528027830808524,0.08711421461739774,0.08063670791285119,0,0.0
10,2023-01-11 08:46:39.393769,0,0,10.86499405,10.09890747,9.559669495,10.32628059,9.837552071,10.09781933,8.730405807,10.54652405,9.81127739,0.0,9.747291565,-0.916014528,0.854221096,0,0.579529361,-0.146563301,0.019014772,-0.060035405,0.085617525,0.085491532,0.072638598,0.012818948,,2023-01-11 08:46:39,,none,-0.8706845020482362,0.0,0.5608881636470636,0.8769555948466102,-0.14971385276997506,0.026572349766623878,-0.052471297428315876,0.08657049111509946,0.08042265001268258,0,0.0
15,2023-01-11 08:46:44.434160,0,0,10.86837101,10.10228539,9.562626839,10.31934166,9.838980675,10.08701897,8.724187851,10.56563663,9.804023743,0.0,9.744936943,-0.85497192,0.8847424,0,0.579529361,-0.143358564,0.025424246,-0.049352948,0.085306071,0.078506761,0.074432324,0.013429374,,2023-01-11 08:46:44,,none,-0.863957670620769,0.0,0.5649030403274988,0.8783969580881739,-0.1479306156346337,0.02569265821370083,-0.05213538578427226,0.08620012253204276,0.08020940412571838,0,0.0
20,2023-01-11 08:46:49.499040,0,0,10.86394405,10.10893917,9.551210403,10.32981491,9.84170723,10.09891605,8.711619377,10.54902744,9.814546585,0.0,9.748150826,-0.824450617,0.915263704,0,0.579529361,-0.147631547,0.025424246,-0.050421194,0.086629882,0.07925121,0.074410099,0.013429374,,2023-01-11 08:46:49,,none,-0.8595506827465763,0.0,0.5673869799337078,0.8794145471583139,-0.1466584131387112,0.024935165859265966,-0.0517968751713702,0.08593636332160205,0.07998814104489421,0,0.0
25,2023-01-11 08:46:54.567425,0,0,10.86318874,10.10245132,9.563384056,10.31721401,9.835533142,10.08662891,8.727622032,10.57772923,9.790513039,0.0,9.748924255,-0.885493224,0.854221096,0,0.518486754,-0.141222073,0.03183372,-0.053625931,0.084445057,0.080784034,0.072638598,0.012818948,,2023-01-11 08:46:54,,none,-0.857066546876385,0.0,0.5682560370047403,0.8795451008007998,-0.1456193701003328,0.02446605158549693,-0.05138288642058438,0.08570969126244306,0.07970441390635832,0,0.0
30,2023-01-11 08:46:59.642326,0,0,10.87833595,10.09887981,9.554380417,10.3247242,9.830352783,10.08832836,8.719761848,10.58302975,9.812250137,0.0,9.749556541,-0.824450617,0.854221096,0,0.579529361,-0.140153827,0.017946527,-0.054694177,0.084202814,0.082122976,0.070822633,0.012208522,,2023-01-11 08:46:59,,none,-0.8548996965782623,0.0,0.570636225880698,0.8797385240551865,-0.14516187445588577,0.024029459416694945,-0.05113455729734874,0.08561252053877003,0.07955014697481708,0,0.0
35,2023-01-11 08:47:04.708908,0,0,10.87469578,10.09905815,9.568515778,10.32031727,9.836076736,10.09328747,8.725106239,10.54838848,9.835309029,0.0,9.752028465,-0.85497192,0.8847424,0,0.610050665,-0.143358564,0.020083018,-0.05148944,0.085305121,0.080240696,0.072616902,0.008545965,,2023-01-11 08:47:04,,none,-0.8540967404257634,0.0,0.573403506385186,0.8793020113455253,-0.1450530462880519,0.024067823936069824,-0.051089399686304236,0.0855845313084132,0.07953669543039298,0,0.0
40,2023-01-11 08:47:09.781678,0,0,10.85834789,10.11289501,9.557244301,10.3303318,9.831687927,10.09692383,8.7302742,10.56640816,9.812822342,0.0,9.755929947,-0.85497192,0.854221096,0,0.549008058,-0.14442681,0.021151264,-0.055762422,0.085154811,0.082495508,0.069006668,0.011598095,,2023-01-11 08:47:09,,none,-0.8543546857079067,0.0,0.5739987383065378,0.8771466323287751,-0.14489273906983252,0.023835100061762704,-0.05127175216475953,0.08552134382995179,0.07965706946152329,0,0.0
45,2023-01-11 08:47:14.858413,0,0,10.86423874,10.11420345,9.561294556,10.33087444,9.831150055,10.09753323,8.730502129,10.56134129,9.817308426,0.0,9.760295868,-0.85497192,0.8847424,0,0.610050665,-0.138017336,0.026492492,-0.055762422,0.08408521,0.083102021,0.074432324,0.013429374,,2023-01-11 08:47:14,,none,-0.8537445746082695,0.0,0.5781408830535959,0.8754407330620675,-0.14466544235603293,0.023697619811100423,-0.05099721325733082,0.08544639136380244,0.07949830565155444,0,0.0
