,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,sfl,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,sfl_lowpass,ms,fill_height
0,2023-02-23 08:54:35.655206,0,0,10.20277786,9.279324532,8.670526505,9.597379684,9.096484184,9.309817314,8.457137108,9.775639534,9.123861313,0.0,9.098106384,-0.000375412,1.586732389,0,1.403604566,-0.149768038,0,-0.056830668,0.092054431,0.087259389,0.019833396,0.007935539,0.0,2.567750763,2023-02-23 08:54:35,,none,-0.01350260729006713,0.0,1.4100744117799,1.5698181919303689,-0.150150784229511,0.0,-0.05612318201081919,0.09208746810186208,0.08676166551602943,2.567902301160715,0.0,0.0
5,2023-02-23 08:54:40.720840,0,0,10.19879818,9.281078339,8.67234993,9.607159615,9.090661049,9.313169479,8.444428444,9.767840385,9.109559059,0.0,9.089154243,-0.06141802,1.617253693,0,1.464647174,-0.134812599,0,-0.055762422,0.088036194,0.086599973,0.019827514,0.007935539,0.0,2.569139788,2023-02-23 08:54:40,,none,-0.023615781913335864,0.0,1.4145342682554638,1.5685983330077866,-0.14607519447380216,0.0,-0.05680754216257891,0.09094976488941087,0.08725365521160931,2.5682728463418667,0.0,0.0
10,2023-02-23 08:54:45.790301,0,0,10.21371841,9.27191925,8.669305801,9.601442337,9.087617874,9.314713478,8.441766739,9.849069595,9.123906136,0.0,9.084200859,-0.091939324,1.556211085,0,1.373083262,-0.143358564,0,-0.063240142,0.090193343,0.091699649,0.016232139,0.007935539,0.0,2.570065804,2023-02-23 08:54:45,,none,-0.03091068050097311,0.0,1.4167307984316941,1.5648591117547839,-0.14306365315159653,0.0,-0.05712134117998332,0.0901028325986995,0.08748413650895873,2.568589397494792,0.0,0.0
15,2023-02-23 08:54:50.863092,0,0,10.20257187,9.278737068,8.660827637,9.606347084,9.087552071,9.317706108,8.457763672,9.809188843,9.145951271,0.0,9.093312263,-0.030896716,1.464647174,0,1.373083262,-0.14442681,0,-0.064308387,0.090072882,0.092421814,0.016246602,0.007935539,0.0,2.569139788,2023-02-23 08:54:50,,none,-0.03585473079805912,0.0,1.4158838576052752,1.5608158232048919,-0.14113924660191654,0.0,-0.05720786069911827,0.08957184741108708,0.08755719327695793,2.56874105032538,0.0,0.0
20,2023-02-23 08:54:55.920329,0,0,10.2059803,9.280234337,8.660743713,9.60402298,9.11002636,9.323740005,8.446207047,9.809060097,9.124793053,0.0,9.094427109,-0.06141802,1.556211085,0,1.373083262,-0.11985716,0,-0.057898913,0.083354694,0.087965871,0.016232139,0.007325113,0.0,2.567750763,2023-02-23 08:54:55,,none,-0.03990684027142947,0.0,1.4125919060032148,1.5591373709389693,-0.13950279327292928,0.0,-0.05729728251441059,0.08913502043902256,0.08763949684422626,2.5687528789172513,0.0,0.0
25,2023-02-23 08:55:00.980889,0,0,10.21749783,9.28869915,8.674688339,9.604841232,9.089940071,9.333856583,8.507190704,9.789435387,9.05851841,0.0,9.092187881,-0.06141802,1.525689781,0,1.373083262,-0.149768038,0,-0.052557685,0.091777261,0.08402543,0.016236958,0.007325113,0.0,2.569139788,2023-02-23 08:55:00,,none,-0.042158385459924314,0.0,1.4095792714959459,1.5594525313112306,-0.1391819839905064,0.0,-0.057310358317304876,0.08909758492138684,0.08767557240163101,2.5687320951770314,0.0,0.0
30,2023-02-23 08:55:06.060632,0,0,10.19837952,9.275689125,8.672909737,9.615150452,9.090074539,9.327874184,8.430073738,9.807806969,9.095630646,0.0,9.092557907,0.030145892,1.586732389,0,1.373083262,-0.121993652,0,-0.048284703,0.084115889,0.080701945,0.019833396,0.008545965,0.0,2.570065804,2023-02-23 08:55:06,,none,-0.0426745481182572,0.0,1.4078973030657824,1.5607050669755391,-0.13881776962607284,0.0,-0.05726905705694598,0.0890854732258866,0.08769865618967805,2.5686917269024114,0.0,0.0
35,2023-02-23 08:55:11.113471,0,0,10.20880127,9.281909943,8.669713974,9.608756065,9.090701103,9.317797661,8.447146416,9.80622673,9.097872734,0.0,9.088839531,-0.06141802,1.556211085,0,1.464647174,-0.151904529,0,-0.053625931,0.092481162,0.085006188,0.021642853,0.008545965,0.0,2.568213771,2023-02-23 08:55:11,,none,-0.04457094732895526,0.0,1.4073266656553365,1.5601163289214002,-0.13891897736249226,0.0,-0.05754383625881663,0.08923864977165126,0.0879838552304598,2.56865214616393,0.0,0.0
40,2023-02-23 08:55:16.177798,0,0,10.21455002,9.277721405,8.676181793,9.601892471,9.087992668,9.316999435,8.447878838,9.800471306,9.081410408,0.0,9.093443871,-0.000375412,1.556211085,0,1.464647174,-0.147631547,0,-0.060035405,0.091348911,0.089683787,0.021642853,0.009766817,0.0,2.570065804,2023-02-23 08:55:16,,none,-0.04482473878934822,0.0,1.4053601971326126,1.5598967622814544,-0.1386933550709184,0.0,-0.05767434121546548,0.08935804619167001,0.08820534589650642,2.5686466192755777,0.0,0.0
45,2023-02-23 08:55:21.243934,0,0,10.20956707,9.27655983,8.669295311,9.607993126,9.097929955,9.312791824,8.455905914,9.787379265,9.11572361,0.0,9.094575882,-0.000375412,1.556211085,0,1.373083262,-0.14442681,0,-0.064308387,0.09048527,0.092421607,0.023446424,0.010377243,0.0,2.567750763,2023-02-23 08:55:21,,none,-0.04507512935661112,0.0,1.4020939957744725,1.560237669086206,-0.13858222737085543,0.0,-0.05760534117047194,0.08960209506874345,0.08834569921726981,2.5686019118096355,0.0,0.0
